Product,Processor,Ram,Memory,OS ,Size,Price
Asus Vivobook 16X 2022 M1603QA-MB502WS,5th Gen AMD Ryzen 5 5600H,8?GB DDR4 RAM,512?GB SSD,Windows 11 OS,16.1?inches,"49,490"
Asus Vivobook 16X 2023 K3605VC-MB951WS,13th Gen Intel Core i9 13900H,16?GB DDR4 RAM,1?TB SSD,Windows 11 OS,16?inches,"1,09,990"
HP Victus 15-fb0106AX,5th Gen AMD Ryzen 5 5600H,16?GB DDR4 RAM,512?GB SSD,Windows 11 OS,15.6?inches,"64,990"
Asus TUF Gaming A15 FA506IHRZ-HN111W ,4th Gen AMD Ryzen 5 4600H,8?GB DDR4 RAM,512?GB SSD,Windows 11 OS,15.6?inches,"49,990"
HP Victus 15-fb0121AX,5th Gen AMD Ryzen 5 5600H,8?GB DDR4 RAM,512?GB SSD,Windows 11 OS,15.6?inches,"54,990"
Lenovo IdeaPad Gaming 3 15IHU6 82K101B6IN,11th Gen Intel Core i5 11320H,8?GB DDR4 RAM,512?GB SSD,Windows 11 OS,15.6?inches,"49,990"
Asus TUF Gaming A15 2022 FA577RE-HN055WS,6th Gen AMD Ryzen 7 6800H,16?GB DDR5 RAM,512?GB SSD,Windows 11 OS,15.6?inches,"81,990"
Asus ROG Flow Z13-ACRNM RMT02 GZ301VIC-MU004WS,13th Gen Intel Core i9 13900H,32?GB LPDDR5 RAM,1?TB SSD,Windows 11 OS,13.4?inches,"2,84,990"
Lenovo V15 G3 IAP,12th Gen Intel Core i3 1215U,8?GB DDR4 RAM,512?GB SSD,Windows 11 OS,15.6?inches,"39,999"
HP Victus 16-d0302TX,11th Gen Intel Core i5 11400H,8?GB DDR4 RAM,512?GB SSD,Windows 11 OS,16.1?inches,"64,899"
HP Victus 15-fa1066TX,13th Gen Intel Core i7 13700H,16?GB DDR4 RAM,512?GB SSD,Windows 11 OS,15.6?inches,"1,12,990"
Lenovo Legion 5 82RB00K8IN,12th Gen Intel Core i7 12700H,16?GB DDR5 RAM,512?GB SSD,Windows 11 OS,15.6?inches,"1,19,990"
